"Date","Theft","Vandalism","Kidnapping","Controlled","Assault","Other"
"06/08/2014",128,31,13,15,26,94
"06/09/2014",136,35,20,16,37,117
"06/10/2014",125,27,15,22,36,149
"06/11/2014",117,30,20,33,43,117
"06/12/2014",131,31,11,34,30,123
"06/13/2014",165,24,17,17,31,137
"06/14/2014",163,40,5,12,32,123
"06/15/2014",130,30,19,25,40,131
"06/16/2014",141,28,16,27,27,123
"06/17/2014",139,38,9,26,32,161
"06/18/2014",129,33,18,28,28,142
"06/19/2014",147,38,14,12,40,129
"06/20/2014",167,83,16,38,23,159
"06/21/2014",170,28,18,24,39,145
"06/22/2014",133,38,17,16,38,90
"06/23/2014",142,44,21,29,40,142
"06/24/2014",145,40,22,8,25,121
"06/25/2014",167,25,17,19,37,126
"06/26/2014",145,33,11,20,40,142
"06/27/2014",186,37,21,20,50,156
"06/28/2014",231,52,21,16,59,126
"06/29/2014",212,39,17,25,56,144
"06/30/2014",131,37,24,14,27,122
"07/01/2014",140,49,12,33,29,160
"07/02/2014",137,30,10,33,43,142
"07/03/2014",154,52,15,28,34,133
"07/04/2014",151,27,24,25,38,122
"07/05/2014",154,36,9,20,43,132
"07/06/2014",145,45,23,14,35,104
"07/07/2014",164,39,19,29,41,159
"07/08/2014",134,38,14,27,32,143
"07/09/2014",173,36,33,23,41,140
"07/10/2014",137,35,10,28,32,156
"07/11/2014",157,51,11,17,38,131
"07/12/2014",141,43,11,15,54,133
"07/13/2014",161,27,19,12,35,111
"07/14/2014",183,36,18,14,37,153
"07/15/2014",158,36,10,27,34,146
"07/16/2014",160,34,26,19,29,117
"07/17/2014",166,36,14,24,27,137
"07/18/2014",187,45,12,23,46,123
"07/19/2014",182,37,27,4,43,110
"07/20/2014",169,26,9,17,34,116
"07/21/2014",187,37,16,22,50,132
"07/22/2014",200,35,14,30,38,130
"07/23/2014",161,34,9,29,27,137
"07/24/2014",155,36,18,23,63,143
"07/25/2014",177,38,12,23,48,136
"07/26/2014",178,31,12,15,38,105
"07/27/2014",173,38,20,23,44,121
"07/28/2014",160,32,34,16,41,135
"07/29/2014",185,44,16,29,39,149
"07/30/2014",167,46,9,22,42,139
"07/31/2014",155,41,8,25,27,147
"08/01/2014",180,39,27,26,35,167
"08/02/2014",181,30,9,26,44,153
"08/03/2014",163,35,16,23,34,114
"08/04/2014",154,38,21,14,36,113
"08/05/2014",154,35,10,16,40,122
"08/06/2014",158,45,12,32,36,147
"08/07/2014",173,46,11,39,42,144
"08/08/2014",204,45,17,38,40,167
"08/09/2014",205,44,13,34,42,171
"08/10/2014",203,42,9,32,38,133
"08/11/2014",156,34,20,18,42,135
"08/12/2014",152,33,14,29,18,167
"08/13/2014",165,34,13,27,31,144
"08/14/2014",200,47,20,19,32,130
"08/15/2014",165,51,14,19,39,139
"08/16/2014",233,29,19,24,35,149
"08/17/2014",179,36,14,19,37,127
"08/18/2014",193,42,16,21,35,167
"08/19/2014",140,44,7,19,29,128
"08/20/2014",180,47,20,18,26,162
"08/21/2014",163,42,10,13,35,114
"08/22/2014",221,37,23,19,43,140
"08/23/2014",221,36,20,16,50,134
"08/24/2014",169,42,12,21,43,114
"08/25/2014",159,45,9,27,26,157
"08/26/2014",171,51,10,19,45,132
"08/27/2014",157,49,10,19,35,131
"08/28/2014",165,26,9,17,27,136
"08/29/2014",184,48,31,37,53,149
"08/30/2014",194,40,12,25,34,162
"08/31/2014",154,30,11,23,53,107
"09/01/2014",135,52,16,24,38,113
"09/02/2014",156,51,9,38,25,132
"09/03/2014",132,39,11,18,45,140
"09/04/2014",163,34,32,36,42,166
"09/05/2014",183,38,12,24,41,144
"09/06/2014",136,54,25,19,50,149
"09/07/2014",156,35,11,25,39,87
"09/08/2014",147,36,20,17,38,140
"09/09/2014",155,32,16,32,33,165
"09/10/2014",176,48,10,37,31,160
"09/11/2014",164,28,4,26,48,134
"09/12/2014",183,39,13,29,29,127
