"Date","theft","conduct","kidnapping","controlled","assault","other"
"10/02/2014",137,0,8,31,45,135
"10/03/2014",220,0,18,23,32,113
"10/04/2014",210,0,15,25,55,135
"10/05/2014",174,0,15,16,51,128
"10/06/2014",157,0,7,15,44,134
"10/07/2014",218,0,18,15,45,117
"10/08/2014",174,0,14,22,33,122
"10/09/2014",195,0,24,25,35,142
"10/10/2014",200,0,32,14,41,135
"10/11/2014",245,0,22,16,38,141
"10/12/2014",187,0,15,12,38,118
"10/13/2014",173,0,8,34,26,141
"10/14/2014",178,0,19,8,42,164
"10/15/2014",189,0,18,12,44,119
"10/16/2014",159,0,27,22,38,133
"10/17/2014",185,0,14,24,50,111
"10/18/2014",207,0,16,22,36,125
"10/19/2014",171,0,10,20,43,119
"10/20/2014",189,0,10,14,31,124
"10/21/2014",157,0,15,25,40,137
"10/22/2014",163,0,18,18,36,133
"10/23/2014",177,0,18,20,39,145
"10/24/2014",177,0,9,20,50,160
"10/25/2014",205,0,12,15,56,136
"10/26/2014",167,0,12,19,37,118
"10/27/2014",183,0,9,10,39,99
"10/28/2014",182,0,15,21,34,126
"10/29/2014",202,0,12,18,54,154
"10/30/2014",169,0,11,12,37,124
"10/31/2014",180,0,24,27,34,125
"11/01/2014",195,0,24,29,58,127
"11/02/2014",156,0,9,22,38,112
"11/03/2014",167,0,13,14,37,106
"11/04/2014",151,0,12,27,27,133
"11/05/2014",159,0,15,23,39,143
"11/06/2014",141,0,12,22,30,159
"11/07/2014",179,0,21,23,42,138
"11/08/2014",165,0,12,23,33,138
"11/09/2014",170,0,5,31,37,117
"11/10/2014",159,0,15,22,42,144
"11/11/2014",148,0,12,20,36,114
"11/12/2014",183,0,13,13,40,137
"11/13/2014",156,0,7,25,25,133
"11/14/2014",222,0,19,11,38,146
"11/15/2014",190,0,12,13,43,150
"11/16/2014",157,0,9,16,38,119
"11/17/2014",161,0,14,11,29,115
"11/18/2014",172,0,16,25,39,126
"11/19/2014",144,0,7,11,29,115
"11/20/2014",180,0,5,10,28,109
"11/21/2014",186,0,8,21,40,138
"11/22/2014",200,0,20,11,44,127
"11/23/2014",173,0,14,22,34,146
"11/24/2014",194,0,15,12,40,117
"11/25/2014",186,0,7,14,37,116
"11/26/2014",210,0,20,16,38,133
"11/27/2014",133,0,12,11,30,90
"11/28/2014",213,0,5,11,40,86
"11/29/2014",199,0,7,17,35,106
"11/30/2014",145,0,9,14,32,88
"12/01/2014",165,0,9,17,29,165
"12/02/2014",157,0,9,21,24,113
"12/03/2014",142,0,14,11,32,105
"12/04/2014",147,0,10,18,39,101
"12/05/2014",213,0,14,10,43,114
"12/06/2014",198,0,6,19,40,95
"12/07/2014",153,0,9,12,38,111
"12/08/2014",178,0,10,12,34,127
"12/09/2014",161,0,15,16,42,125
"12/10/2014",176,0,18,14,38,125
"12/11/2014",139,0,6,9,28,99
"12/12/2014",227,0,14,7,39,113
"12/13/2014",180,0,12,9,42,125
"12/14/2014",185,0,5,10,25,122
"12/15/2014",189,0,7,9,34,91
"12/16/2014",164,0,12,12,26,104
"12/17/2014",174,0,13,14,34,126
"12/18/2014",191,0,10,23,39,133
"12/19/2014",212,0,8,12,29,140
"12/20/2014",192,0,9,7,39,134
"12/21/2014",182,0,11,8,40,130
"12/22/2014",211,0,19,11,44,121
"12/23/2014",200,0,10,13,35,136
"12/24/2014",182,0,8,14,28,96
"12/25/2014",101,0,4,11,38,66
"12/26/2014",186,0,19,14,34,127
"12/27/2014",203,0,8,10,25,101
"12/28/2014",152,0,7,18,30,120
"12/29/2014",207,0,16,20,26,131
"12/30/2014",166,0,12,15,33,117
"12/31/2014",163,0,10,20,32,142
