"Date","Southern","Mission","Northern","Central","Bayview","Ingleside","Tenderloin","Taraval","Park","Richmond"
"04/23/2014",70,38,47,39,33,39,40,31,40,17
"04/24/2014",76,60,46,40,61,40,27,37,31,30
"04/25/2014",101,58,54,55,48,23,33,37,31,22
"04/26/2014",80,65,52,58,45,36,26,17,31,29
"04/27/2014",58,49,59,44,37,21,20,23,27,17
"04/28/2014",67,50,63,47,43,32,32,26,33,21
"04/29/2014",53,49,61,39,45,22,44,22,25,15
"04/30/2014",70,51,34,50,46,42,31,23,27,14
"05/01/2014",74,66,60,36,54,34,32,39,28,24
"05/02/2014",81,51,51,47,47,30,42,23,35,18
"05/03/2014",75,40,46,51,44,31,32,23,21,17
"05/04/2014",78,51,53,36,30,30,19,22,22,16
"05/05/2014",68,48,49,34,37,41,32,41,22,16
"05/06/2014",66,37,40,52,37,43,46,36,38,31
"05/07/2014",77,47,41,42,33,23,43,23,18,21
"05/08/2014",66,53,27,34,31,24,51,28,16,25
"05/09/2014",84,45,46,55,44,33,35,18,24,25
"05/10/2014",70,41,50,48,31,38,50,23,13,22
"05/11/2014",81,37,43,35,35,41,25,23,30,22
"05/12/2014",52,42,40,32,38,39,24,28,24,19
"05/13/2014",78,38,43,39,37,33,35,22,35,22
"05/14/2014",89,64,25,59,39,25,21,32,43,15
"05/15/2014",86,43,54,48,34,30,40,36,25,17
"05/16/2014",65,63,51,41,40,33,49,21,28,15
"05/17/2014",91,49,59,63,44,26,32,29,31,30
"05/18/2014",82,41,63,37,33,32,30,42,58,18
"05/19/2014",68,39,50,37,56,35,40,28,20,16
"05/20/2014",81,59,47,50,33,29,17,32,23,22
"05/21/2014",64,68,51,44,40,28,24,45,25,24
"05/22/2014",59,60,45,35,33,40,29,25,23,30
"05/23/2014",79,65,47,42,61,43,21,41,20,29
"05/24/2014",83,46,51,37,49,34,36,17,27,17
"05/25/2014",75,85,50,53,47,30,23,23,32,15
"05/26/2014",72,53,37,55,37,28,49,23,29,24
"05/27/2014",51,55,60,43,36,35,44,27,22,23
"05/28/2014",95,40,50,35,41,33,29,32,29,16
"05/29/2014",64,56,38,45,30,40,22,34,29,25
"05/30/2014",65,58,46,39,37,31,28,39,20,12
"05/31/2014",62,45,41,37,33,38,28,24,15,25
"06/01/2014",72,58,43,48,29,38,31,9,19,20
"06/02/2014",88,52,52,36,48,34,29,24,13,18
"06/03/2014",74,64,62,32,41,33,40,24,16,19
"06/04/2014",77,76,59,45,57,33,45,27,30,26
"06/05/2014",77,60,44,61,32,45,20,27,38,11
"06/06/2014",60,52,58,81,39,32,20,40,20,19
"06/07/2014",80,56,28,52,36,49,30,15,16,20
"06/08/2014",61,37,39,30,35,29,9,24,24,19
"06/09/2014",67,36,24,49,30,40,42,24,15,34
"06/10/2014",65,64,32,30,42,31,29,30,35,16
"06/11/2014",71,48,46,38,36,27,45,22,20,7
"06/12/2014",59,53,37,49,27,28,32,22,24,29
"06/13/2014",101,38,53,58,39,28,11,23,18,22
"06/14/2014",85,49,38,40,56,34,23,26,12,12
"06/15/2014",82,38,42,49,32,25,22,32,33,20
"06/16/2014",56,46,36,47,29,45,25,38,21,19
"06/17/2014",96,38,38,31,44,20,65,24,28,21
"06/18/2014",55,46,35,47,30,42,35,32,34,22
"06/19/2014",95,35,27,43,38,51,35,25,13,18
"06/20/2014",88,62,36,91,40,28,46,34,31,30
"06/21/2014",93,57,42,63,41,27,35,22,26,18
"06/22/2014",51,61,27,56,35,27,18,16,17,24
"06/23/2014",86,37,36,53,49,40,31,36,34,16
"06/24/2014",42,46,46,49,45,26,31,33,21,22
"06/25/2014",74,49,22,37,48,31,43,31,27,29
"06/26/2014",68,58,39,42,50,33,31,26,15,29
"06/27/2014",95,61,60,48,35,53,22,50,24,22
"06/28/2014",109,92,60,51,34,42,46,23,28,20
"06/29/2014",132,68,61,49,47,39,47,17,24,9
"06/30/2014",47,43,41,43,40,37,27,33,25,19
"07/01/2014",63,51,43,47,62,37,41,24,30,25
"07/02/2014",73,42,46,53,40,26,41,30,27,17
"07/03/2014",77,65,44,54,39,35,55,23,8,16
"07/04/2014",57,56,38,56,52,38,25,26,27,12
"07/05/2014",79,56,40,49,38,36,24,23,20,29
"07/06/2014",58,49,64,42,28,32,30,16,17,30
"07/07/2014",84,53,47,49,47,39,28,38,41,25
"07/08/2014",72,49,37,45,41,28,40,34,24,18
"07/09/2014",79,47,41,50,51,58,25,38,32,25
"07/10/2014",76,62,35,42,39,24,34,28,24,34
"07/11/2014",93,52,43,57,36,21,38,22,19,24
"07/12/2014",90,49,46,62,46,15,34,19,14,22
"07/13/2014",55,54,49,61,38,31,26,20,14,17
"07/14/2014",82,62,43,55,53,42,42,22,22,18
"07/15/2014",100,53,49,28,40,52,33,30,15,11
"07/16/2014",64,27,59,64,52,35,20,15,27,22
"07/17/2014",86,46,58,42,45,33,31,23,25,15
"07/18/2014",75,41,59,56,63,40,39,22,24,17
"07/19/2014",62,45,69,47,51,27,19,34,21,28
"07/20/2014",64,57,52,35,23,34,35,21,30,20
"07/21/2014",93,44,50,40,41,39,33,53,24,27
"07/22/2014",78,56,48,39,55,33,35,42,31,30
"07/23/2014",60,55,43,53,40,30,30,35,27,24
"07/24/2014",76,52,61,43,37,49,36,32,18,34
"07/25/2014",80,68,67,52,49,30,18,29,22,19
"07/26/2014",74,48,75,46,24,32,26,21,17,16
"07/27/2014",104,62,43,47,39,31,14,29,34,16
"07/28/2014",80,53,58,39,38,32,30,30,33,25
"07/29/2014",82,56,45,44,48,46,40,36,33,32
"07/30/2014",94,44,67,56,27,42,27,37,22,9
"07/31/2014",68,40,43,49,41,48,36,27,28,23
"08/01/2014",118,75,84,38,36,27,22,32,18,24
"08/02/2014",68,75,65,57,56,19,31,34,14,24
"08/03/2014",87,50,57,54,29,30,22,15,28,13
"08/04/2014",80,55,39,40,29,28,36,19,29,21
"08/05/2014",76,44,52,40,30,49,27,28,11,20
"08/06/2014",70,65,41,68,31,35,36,30,32,22
"08/07/2014",98,47,58,44,44,39,42,38,25,20
